,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,mileage_power_ratio
13,13,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01,15.0,1,0,0,0,1,0.07689678742310321
14,14,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,4.78,5.4,1,0,0,0,1,0.2616632860040568
15,15,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,4.78,5.99,1,0,0,0,1,0.38378378378378375
16,16,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,4.78,6.34,1,0,0,0,1,0.24403341288782815
17,17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,4.78,28.0,1,0,0,1,0,0.0885335878773416
18,18,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87,18.55,1,0,0,1,0,0.11942105263157896
19,19,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,4.78,8.25,1,0,0,0,1,0.26723163841807906
20,20,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,4.78,23.5,0,0,1,1,0,0.0764363595277103
21,21,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,4.78,1.87,0,0,1,0,1,0.23125
22,22,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,4.78,2.85,0,0,1,1,0,0.138996138996139
23,23,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.78,4.25,0,0,1,0,1,0.14445399828030955
24,24,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,4.78,4.25,1,0,0,0,1,0.2611727416798732
25,25,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,4.78,2.75,0,0,1,0,1,0.31177347242921016
26,26,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57,9.9,0,0,1,0,1,0.1972942502818489
27,27,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,4.78,4.0,1,0,0,0,1,0.12549019607843137
28,28,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,4.78,7.75,1,0,0,0,1,0.1752881512217612
29,29,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,4.78,6.75,0,0,1,0,1,0.1052136133236785
30,30,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,4.78,12.5,1,0,0,1,0,0.06076086956521739
31,31,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,4.78,11.5,1,0,0,1,0,0.0690807799442897
32,32,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33,6.98,0,0,1,0,1,0.15545893719806764
33,33,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,4.78,1.85,0,0,1,0,1,0.21875
34,34,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12,8.63,1,0,0,0,1,0.2745762711864407
35,35,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,4.78,4.85,0,0,1,0,1,0.22134146341463412
36,36,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,4.78,28.0,1,0,0,1,0,0.04607535321821036
37,37,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,4.78,5.0,1,0,0,0,1,0.29864682002706355
38,38,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,4.78,1.25,0,0,1,0,1,0.42548596112311016
39,39,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,4.78,1.53,0,0,1,0,1,0.6773333333333333
40,40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,4.78,5.58,1,0,0,0,1,0.3288311688311688
41,41,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.78,4.74,0,0,1,0,1,0.22316043425814233
42,42,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64,8.85,0,0,1,1,0,0.09751867662753469
43,43,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,4.78,10.11,0,0,1,1,0,0.10345577048467725
44,44,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.78,4.25,1,0,0,0,1,0.13279857397504458
45,45,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64,10.95,0,0,1,0,1,0.06872327428222358
46,46,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,4.78,3.85,1,0,0,0,1,0.3436619718309859
47,47,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,4.78,5.5,1,0,0,0,1,0.15761904761904763
48,48,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,4.78,21.43,1,0,0,1,0,0.09814719210692364
49,49,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.78,4.25,1,0,0,0,1,0.30945945945945946
50,50,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,4.78,3.3,1,0,0,0,1,0.23733333333333334
51,51,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,4.78,3.85,1,0,0,0,1,0.38378378378378375
52,52,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,4.78,3.6,0,0,1,0,1,0.23048780487804876
53,53,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,4.78,3.99,0,0,1,0,1,0.14573643410852713
54,54,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,4.78,3.3,0,0,1,0,1,0.47223264540337717
55,55,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,4.78,2.07,0,0,1,0,1,0.25804816223067173
56,56,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,4.78,7.75,1,0,0,1,0,0.06429539295392954
57,57,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,4.78,2.25,0,0,1,0,1,0.27123695976154993
58,58,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34,16.5,1,0,0,0,1,0.09255751014884979
59,59,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,4.78,2.75,1,0,0,0,1,0.29411764705882354
60,60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,4.78,26.7,0,0,1,1,0,0.06311827956989248
61,61,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,4.78,10.0,1,0,0,0,1,0.09294117647058824
62,62,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,4.78,2.5,1,0,0,0,1,0.36231884057971014
63,63,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,4.78,13.5,1,0,0,1,0,0.11821428571428572
64,64,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,4.78,1.85,0,0,1,1,0,0.21025641025641023
65,65,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,49.14,35.67,1,0,0,1,0,0.0
66,66,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,4.78,8.15,1,0,0,0,1,0.27706214689265535
67,67,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81,10.5,1,0,0,0,1,0.2491544532130778
68,68,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,4.78,14.5,0,0,1,1,0,0.017
69,69,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,4.78,9.65,1,0,0,0,1,0.10785714285714286
70,70,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,4.78,3.48,0,0,1,1,0,0.21482889733840302
71,71,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65,6.92,1,0,0,0,1,0.18101382488479265
72,72,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,4.78,6.46,0,0,1,1,0,0.19009216589861752
73,73,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,4.78,29.5,1,0,0,1,0,0.0987003302439544
74,74,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,4.78,4.5,0,0,1,0,1,0.09393939393939395
75,75,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,4.78,11.75,1,0,0,0,1,0.12549019607843137
76,76,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,4.78,3.75,1,0,0,0,1,0.30945945945945946
77,77,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67,4.5,0,0,1,0,1,0.19808342728297632
78,78,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.78,4.82,0,0,1,0,1,0.20761245674740483
79,79,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,4.78,2.8,1,0,0,0,1,0.29411764705882354
80,80,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,4.78,3.11,1,0,0,0,1,0.3137679199350825
81,81,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,4.78,3.25,0,0,1,0,1,0.15174765558397274
82,82,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,4.78,13.9,1,0,0,1,0,0.07674311926605505
83,83,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,4.78,2.25,0,0,1,0,1,0.25804816223067173
84,84,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,4.78,5.75,0,0,1,0,1,0.23048780487804876
85,85,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,4.78,5.0,0,0,1,0,1,0.20530565167243367
86,86,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,4.78,16.5,1,0,0,0,1,0.0771513353115727
87,87,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,4.78,39.58,1,0,0,1,0,0.10141685309470544
88,88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,4.78,5.5,1,0,0,0,1,0.2526714158504007
89,89,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,4.78,8.1,1,0,0,0,1,0.10785714285714286
90,90,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,4.78,3.5,1,0,0,0,1,0.2616632860040568
91,91,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,4.78,2.79,1,0,0,0,1,0.29864682002706355
92,92,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,4.78,3.45,1,0,0,0,1,0.14727272727272728
93,93,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.78,4.45,0,0,1,0,1,0.28166915052160957
94,94,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,4.78,2.65,0,0,1,0,1,0.14743961352657003
95,95,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,4.78,3.8,1,0,0,0,1,0.25555555555555554
96,96,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.78,4.65,0,0,1,0,1,0.22329511164755583
97,97,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,6.45,3.95,0,0,1,0,1,0.29597014925373133
98,98,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,4.78,9.8,1,0,0,1,0,0.06188898094449047
99,99,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,4.78,2.7,0,0,1,0,1,0.2125
100,100,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,4.78,2.41,0,0,1,0,1,0.4
101,101,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.41,3.9,0,0,1,0,1,0.22446134347275032
102,102,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,4.78,24.0,1,0,0,1,0,0.05441122185308232
103,103,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,4.78,5.75,1,0,0,0,1,0.11428571428571428
104,104,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,4.78,5.25,1,0,0,1,0,0.1766941101963268
105,105,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27.0,19.25,1,0,0,1,0,0.06623906705539358
106,106,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,5.13,3.91,0,0,1,0,1,0.20684931506849313
107,107,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,4.78,2.15,0,0,1,0,1,0.6773333333333333
108,108,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,54.43,20.75,1,0,0,1,0,0.11942105263157896
109,109,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,4.78,3.35,0,0,1,0,1,0.10384615384615385
110,110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,4.78,11.11,1,0,0,0,1,0.12912524850894633
111,111,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,4.78,20.0,1,0,0,1,0,0.15533333333333335
112,112,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.51,6.55,0,0,1,1,0,0.2521727679747169
113,113,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,4.78,7.0,0,0,1,1,0,0.05023255813953489
114,114,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.96,7.5,1,0,0,0,1,0.2745762711864407
115,115,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,4.78,16.75,1,0,0,1,0,0.13979496738117428
116,116,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44,10.95,1,0,0,0,1,0.17432646592709983
117,117,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,4.78,2.45,0,0,1,0,1,0.28166915052160957
118,118,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,4.78,3.23,0,0,1,1,0,0.5843116328708645
119,119,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,4.78,7.75,1,0,0,0,1,0.10041666666666667
120,120,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,4.78,9.35,0,0,1,1,0,0.06573033707865168
121,121,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,4.78,5.25,0,0,1,0,1,0.07105263157894737
122,122,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,4.78,7.25,1,0,0,1,0,0.2055232558139535
123,123,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,4.78,7.47,0,0,1,0,1,0.22755214050493966
124,124,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,4.78,13.25,1,0,0,1,0,0.11428571428571428
125,125,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,4.78,5.81,0,0,1,0,1,0.24592074592074595
126,126,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.53,2.6,0,0,1,0,1,0.3587183308494784
127,127,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04,54.0,0,0,1,1,0,0.052476040544646066
128,128,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49,11.5,0,0,1,1,0,0.14014839241549876
129,129,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,4.78,1.6,0,0,1,0,1,0.42548596112311016
130,130,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,4.78,17.22,1,0,0,1,0,0.1439160839160839
131,131,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,4.78,6.0,0,0,1,1,0,0.21420518602029312
132,132,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,4.78,3.95,0,0,1,0,1,0.10384615384615385
133,133,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,4.78,17.95,1,0,0,1,0,0.11335294117647059
134,134,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,4.78,3.7,1,0,0,0,1,0.2616632860040568
135,135,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,4.78,5.43,0,0,1,0,1,0.26894865525672373
136,136,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,4.78,13.49,1,0,0,0,1,0.06725146198830409
137,137,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,4.78,2.85,0,0,1,0,1,0.24218750000000003
138,138,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.78,4.75,1,0,0,0,1,0.20421174652241114
139,139,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,4.78,9.9,0,0,1,0,1,0.22755214050493966
140,140,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,1.28,37.0,0,0,1,1,0,0.02488738738738739
141,141,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,60.88,26.5,1,0,0,1,0,0.1145263157894737
142,142,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,4.78,23.32,1,0,0,1,0,0.09814719210692364
143,143,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,4.78,6.25,1,0,0,0,1,0.30945945945945946
144,144,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,4.78,30.0,0,0,1,1,0,0.021521080187379443
145,145,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,4.78,9.86,1,0,0,1,0,0.20923493044822258
146,146,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,4.78,8.5,1,0,0,1,0,0.12454742939898625
147,147,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.78,4.23,0,0,1,0,1,0.38224637681159424
148,148,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,4.78,3.5,1,0,0,0,1,0.29864682002706355
149,149,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,4.78,2.5,0,0,1,0,1,0.3076349537727408
150,150,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,4.78,2.39,0,0,1,0,1,0.22350230414746544
151,151,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,4.78,11.25,0,0,1,1,0,0.12261806130903066
152,152,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,4.78,7.11,1,0,0,0,1,0.26369168356997974
153,153,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,4.78,10.9,1,0,0,0,1,0.12912524850894633
154,154,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,4.78,6.2,0,0,1,0,1,0.2493887530562347
155,155,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,4.78,7.9,1,0,0,0,1,0.10785714285714286
156,156,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.78,4.42,1,0,0,0,1,0.2526714158504007
157,157,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,4.78,13.5,1,0,0,0,1,0.0771513353115727
158,158,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,4.78,6.25,1,0,0,1,0,0.19815668202764977
159,159,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,4.78,2.1,1,0,0,0,1,0.29411764705882354
160,160,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,4.78,45.0,1,0,0,1,0,0.05930232558139535
161,161,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,4.78,33.66,1,0,0,1,0,0.11496241498627849
162,162,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,4.78,3.65,0,0,1,0,1,0.22350230414746544
163,163,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,4.78,2.75,0,0,1,0,1,0.25804816223067173
164,164,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,4.78,42.5,1,0,0,1,0,0.10529411764705882
165,165,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,7.39,6.5,0,0,1,0,1,0.23088199364769116
166,166,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,4.78,19.0,1,0,0,1,0,0.10141685309470544
167,167,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,4.78,4.45,0,0,1,1,0,0.138996138996139
168,168,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,4.78,23.0,1,0,0,1,0,0.14821428571428572
169,169,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,4.78,8.35,1,0,0,0,1,0.25402907697509297
170,170,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,4.78,22.95,1,0,0,1,0,0.10141685309470544
171,171,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,4.78,1.5,1,0,0,0,1,0.44166666666666665
